0,1,2,3,4,5,6,7,8,9,10,11,positive_labels
# YTID,start_seconds,end_seconds,,,,,,,,,,
08KHQH9V2ak,70.0,80.0,,/t/dd00031,,,,,,,,/t/dd00031
08W-Bdnahlc,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
096aIn8Ct4M,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
09sELHcd7uI,9.0,19.0,,/t/dd00031,,,,,,,,/t/dd00031
0DfJ96OXP2k,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0EJMQzV4fa8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0FC49Vn7DTo,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0FUStSgi3SQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0G9LM_FUBPE,4.0,14.0,/t/dd00031,,,,,,,,,/t/dd00031
0GgLPofU3Ic,40.0,50.0,/t/dd00031,,,,,,,,,/t/dd00031
0J4gAwC6Uxo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0JTtUm_tlos,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
0JoY0RH7KMY,30.0,40.0,,,,/t/dd00031,/t/dd00035,,,,,"/t/dd00031, /t/dd00035"
0KBZNyQ7ffs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0KQfK_KkE-E,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0KijuXWbE1E,30.0,40.0,,,,/t/dd00031,,,,,,/t/dd00031
0Kpbp6feTm8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0Ktyu12SEyc,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0LI-9aBRrOo,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0Le7mhMgIEA,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0MqfAFcX-c4,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0NyTgMNTzbs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0OEeZPVwrfg,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0OX3a9cV4hQ,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0S4GcKH5S5o,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0TGeLO-gajQ,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
0X17eSTRvds,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0Xue3N0BRaM,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0Y3XwgLU64E,30.0,40.0,,,,/t/dd00031,,,,,,/t/dd00031
0YtZyiVVpL8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0ZL-SEuXzJ8,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0Ztp1wom8MQ,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0aXi7kaH4Ck,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
0abpvTgLtVo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0aiuQvHT9Ig,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0bB__SSVBK0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0d3KoIEEMa0,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0dLqhKfGrVU,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0eEHMmMZrHk,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0fXdqA_PYEk,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0ftYOGpFkhY,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0g4waTKz53Q,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0g9h0xf5FxU,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0gaZuXI4yds,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0guK6KNLg2Y,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0gzGR-bz3Os,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
0hI587RuS1w,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0hyjvLkDMtY,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0i_STZkmAcs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0icGe1RbyHM,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0j8RGdyncbY,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0jE1XHKwv0Q,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0jRk-Vb3uyg,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0jUOQ0Fw25U,30.0,40.0,,/t/dd00031,,,,,,,,/t/dd00031
0mkmRX1ojLo,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0nLbCS0c25M,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0nXEQHrClR0,40.0,50.0,/t/dd00031,,,,,,,,,/t/dd00031
0pk4mQKqr-c,30.0,40.0,,,,,,/t/dd00031,,,,/t/dd00031
0puWWKpSM7k,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0qOyTtsMImk,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0r13kc6nKng,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0rmhj_W--_Y,30.0,40.0,/t/dd00031,/t/dd00035,,,,,,,,"/t/dd00031, /t/dd00035"
0sfVo3sfRjs,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0smpjzGpl9M,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0tKPBZtHyq4,30.0,40.0,,,/t/dd00031,,,,,,,/t/dd00031
0tnXcvHZdHA,30.0,40.0,/t/dd00031,,,,,,,,,/t/dd00031
0tvYPZdqS8k,70.0,80.0,/t/dd00031,,,,,,,,,/t/dd00031
