,Audio_files , Happy , Sad , Angry , Scary,class
0,1_audio_0.wav,0.8975,0.0228,0.0044,0.0666, Happy 
1,1_audio_0.wav,0.9755,0.0157,0.0033,0.0036, Happy 
2,1_audio_0.wav,0.9351,0.0172,0.0015,0.0622, Happy 
3,1_audio_0.wav,0.7412,0.0382,0.0003,0.1466, Happy 
4,1_audio_0.wav,0.9167,0.1009,0.0006,0.0041, Happy 
5,1_audio_0.wav,0.9699,0.0818,0.0005,0.0025, Happy 
6,1_audio_0.wav,0.977,0.0558,0.0005,0.0055, Happy 
7,1_audio_0.wav,0.5845,0.4399,0.0002,0.0047, Happy 
8,1_audio_0.wav,0.6496,0.4539,0.0002,0.0065, Happy 
9,1_audio_0.wav,0.6403,0.465,0.0003,0.0054, Happy 
10,1_audio_1.wav,0.0411,0.3053,0.0113,0.8571, Scary
11,1_audio_1.wav,0.0493,0.6105,0.0055,0.5062, Sad 
12,1_audio_1.wav,0.0269,0.8506,0.0021,0.0777, Sad 
13,1_audio_1.wav,0.0461,0.7041,0.0015,0.1755, Sad 
14,1_audio_1.wav,0.0545,0.3923,0.0012,0.2831, Sad 
15,1_audio_1.wav,0.0076,0.0828,0.0048,0.7899, Scary
16,1_audio_1.wav,0.0025,0.1158,0.0025,0.7437, Scary
17,1_audio_1.wav,0.0057,0.1465,0.0025,0.3292, Scary
18,1_audio_1.wav,0.0085,0.1958,0.0029,0.0807, Sad 
19,1_audio_1.wav,0.2387,0.1134,0.0043,0.0343, Happy 
20,1_audio_10.wav,0.0284,0.4448,0.1001,0.7163, Scary
21,1_audio_10.wav,0.0115,0.5155,0.0771,0.592, Scary
22,1_audio_10.wav,0.0063,0.7757,0.0071,0.5647, Sad 
23,1_audio_10.wav,0.0048,0.7062,0.005,0.6172, Sad 
24,1_audio_10.wav,0.0052,0.826,0.0088,0.505, Sad 
25,1_audio_10.wav,0.0052,0.5138,0.0101,0.6602, Scary
26,1_audio_10.wav,0.0062,0.5303,0.0281,0.328, Sad 
27,1_audio_10.wav,0.0059,0.6165,0.0329,0.1578, Sad 
28,1_audio_10.wav,0.0147,0.5895,0.0137,0.0726, Sad 
29,1_audio_10.wav,0.0071,0.4502,0.0108,0.1274, Sad 
30,1_audio_100.wav,0.3558,0.6651,0.0046,0.0153, Sad 
31,1_audio_100.wav,0.5081,0.6826,0.0008,0.0112, Sad 
32,1_audio_100.wav,0.4714,0.7379,0.0004,0.0036, Sad 
33,1_audio_100.wav,0.3061,0.7686,0.0004,0.0027, Sad 
34,1_audio_100.wav,0.6537,0.735,0.0001,0.0065, Sad 
35,1_audio_100.wav,0.3469,0.757,0.0001,0.0067, Sad 
36,1_audio_100.wav,0.4964,0.8009,0.0002,0.0038, Sad 
37,1_audio_100.wav,0.5683,0.6888,0.0001,0.0085, Sad 
